epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1592.89,0.90276,0.72485,0.88246,0.64595,0.34454,0.36679,0.19804,1.14858,1.04911,0.98474,0.000828443,0.000828443,0.000828443
43,1636.69,0.93295,0.78135,0.89625,0.69074,0.39922,0.40262,0.24215,1.05717,0.99058,0.96247,0.000820525,0.000820525,0.000820525
44,1678.89,0.93886,0.77406,0.89546,0.71694,0.32882,0.36435,0.21521,1.09499,0.95751,0.9794,0.000812468,0.000812468,0.000812468
45,1718.48,0.93776,0.78052,0.89488,0.7307,0.3856,0.41371,0.24019,1.05429,0.92501,0.96042,0.000804277,0.000804277,0.000804277
46,1762.73,0.92707,0.75216,0.88589,0.74967,0.39944,0.42775,0.25837,1.02533,1.07685,0.9574,0.000795954,0.000795954,0.000795954
47,1806.08,0.92501,0.74155,0.88954,0.64059,0.39089,0.42359,0.27036,1.06876,1.01006,0.9689,0.000787503,0.000787503,0.000787503
48,1849.32,0.91138,0.72992,0.88711,0.81528,0.37814,0.45102,0.25916,1.12616,0.90635,0.99667,0.000778929,0.000778929,0.000778929
49,1889.34,0.9116,0.74006,0.89091,0.6821,0.36877,0.39316,0.22533,1.05916,0.89552,0.95924,0.000770234,0.000770234,0.000770234
50,1934.4,0.92696,0.7466,0.89502,0.80432,0.41365,0.46534,0.27997,1.04794,0.89315,0.9653,0.000761423,0.000761423,0.000761423
51,1975.92,0.90773,0.71998,0.88725,0.79586,0.40656,0.44319,0.28222,0.99157,0.93801,0.9455,0.0007525,0.0007525,0.0007525
52,2018.62,0.88898,0.69879,0.88167,0.82686,0.39916,0.45823,0.28317,1.02819,0.8811,0.96058,0.000743468,0.000743468,0.000743468
53,2059.07,0.91019,0.73461,0.8919,0.73724,0.42722,0.44648,0.27518,1.0411,0.91504,0.96415,0.000734332,0.000734332,0.000734332
54,2101.81,0.91258,0.73715,0.89511,0.70241,0.3226,0.37251,0.22721,1.03287,0.99771,0.95926,0.000725094,0.000725094,0.000725094
55,2145.08,0.88717,0.70917,0.88511,0.69375,0.42032,0.44593,0.27218,1.00942,1.07131,0.9582,0.000715761,0.000715761,0.000715761
56,2186.75,0.90909,0.73427,0.8881,0.79487,0.45815,0.5074,0.26225,1.02316,1.00119,0.95729,0.000706335,0.000706335,0.000706335
57,2229.97,0.89549,0.71496,0.88656,0.53004,0.42908,0.46387,0.24505,1.09358,0.96292,0.98435,0.00069682,0.00069682,0.00069682
58,2272.92,0.86066,0.66842,0.8774,0.72467,0.55859,0.57647,0.31219,1.02342,0.92447,0.95608,0.000687222,0.000687222,0.000687222
59,2316.92,0.87064,0.67231,0.87551,0.76073,0.47668,0.54876,0.29201,1.04627,0.94474,0.97423,0.000677543,0.000677543,0.000677543
60,2358.42,0.87528,0.70007,0.88325,0.80397,0.39723,0.50274,0.27824,1.02026,0.93682,0.95313,0.000667789,0.000667789,0.000667789
61,2396.56,0.86433,0.68466,0.87672,0.6784,0.43059,0.47104,0.27512,1.00073,0.90563,0.94744,0.000657963,0.000657963,0.000657963
